qini,baseline,share_users
2735.6616,1321.1285,0.318857
2738.9949,1323.1993,0.319357
2745.9949,1325.27,0.319857
2749.3281,1327.3408,0.320356
2749.6616,1329.4115,0.320856
2755.6616,1331.4823,0.321356
2749.9949,1333.553,0.321856
2751.9949,1335.6238,0.322356
2754.9949,1337.6945,0.322855
2756.9949,1339.7653,0.323355
2756.9949,1341.8359,0.323855
2758.9949,1343.9066,0.324355
2758.9949,1345.9774,0.324854
2760.9949,1348.0481,0.325354
2761.9949,1350.1189,0.325854
2762.9949,1352.1896,0.326354
2764.9949,1354.2604,0.326854
2767.9949,1356.331,0.327353
2750.9949,1358.4019,0.327853
2738.9949,1360.4725,0.328353
2740.9949,1362.5433,0.328853
2744.9949,1364.614,0.329352
2745.9949,1366.6847,0.329852
2747.9949,1368.7555,0.330352
2748.9949,1370.8262,0.330852
2744.3281,1372.897,0.331352
2744.3281,1374.9677,0.331851
2746.3281,1377.0385,0.332351
2749.3281,1379.1091,0.332851
2751.3281,1381.1799,0.333351
2753.3281,1383.2506,0.33385
2754.3281,1385.3214,0.33435
2749.6614,1387.3921,0.33485
2751.6614,1389.4628,0.33535
2747.9949,1391.5336,0.33585
2747.9949,1393.6042,0.336349
2747.9949,1395.675,0.336849
2742.3281,1397.7457,0.337349
2742.3281,1399.8165,0.337849
2741.6614,1401.8872,0.338348
2752.6614,1403.958,0.338848
2763.6614,1406.0287,0.339348
2756.3281,1408.0995,0.339848
2762.6614,1410.1702,0.340348
2761.3281,1412.2408,0.340847
2771.3281,1414.3116,0.341347
2770.6614,1416.3823,0.341847
2771.6614,1418.4531,0.342347
2773.6614,1420.5238,0.342846
2777.6614,1422.5946,0.343346
2780.6614,1424.6653,0.343846
2775.9946,1426.7361,0.344346
2778.9946,1428.8068,0.344846
2779.9946,1430.8776,0.345345
2776.3281,1432.9482,0.345845
2777.3281,1435.019,0.346345
2778.3281,1437.0897,0.346845
2779.3281,1439.1604,0.347344
2781.3281,1441.2312,0.347844
2783.3281,1443.3019,0.348344
2780.6614,1445.3727,0.348844
2784.6614,1447.4434,0.349343
2776.3281,1449.5142,0.349843
2771.6614,1451.5848,0.350343
2773.6614,1453.6556,0.350843
2777.6614,1455.7263,0.351343
2780.6614,1457.7971,0.351842
2780.6614,1459.8678,0.352342
2781.6614,1461.9385,0.352842
2783.6614,1464.0093,0.353342
2780.9946,1466.08,0.353841
2788.9946,1468.1508,0.354341
2788.9946,1470.2214,0.354841
2788.3281,1472.2922,0.355341
2788.3281,1474.3629,0.355841
2789.3281,1476.4337,0.35634
2784.6614,1478.5044,0.35684
2785.6614,1480.5752,0.35734
2788.6614,1482.6459,0.35784
2790.6614,1484.7166,0.358339
2791.6614,1486.7874,0.358839
2794.6614,1488.858,0.359339
2794.6614,1490.9288,0.359839
2790.9946,1492.9995,0.360339
2792.9946,1495.0703,0.360838
2793.9946,1497.141,0.361338
2795.9946,1499.2118,0.361838
2796.328,1501.2825,0.362338
2801.328,1503.3533,0.362837
2801.328,1505.424,0.363337
2799.6614,1507.4948,0.363837
2805.6614,1509.5654,0.364337
2809.6614,1511.6361,0.364837
2810.6614,1513.7069,0.365336
2804.9946,1515.7776,0.365836
2796.6614,1517.8484,0.366336
2796.6614,1519.9191,0.366836
2797.6614,1521.9899,0.367335
2797.6614,1524.0605,0.367835
2801.6614,1526.1313,0.368335
2796.9946,1528.202,0.368835
2800.9946,1530.2728,0.369335
2795.328,1532.3435,0.369834
2795.328,1534.4142,0.370334
2799.328,1536.485,0.370834
2794.6614,1538.5557,0.371334
2797.6614,1540.6265,0.371833
2788.328,1542.6971,0.372333
2792.328,1544.768,0.372833
2799.328,1546.8386,0.373333
2798.6611,1548.9094,0.373833
2795.9946,1550.9801,0.374332
2792.328,1553.0509,0.374832
2793.328,1555.1216,0.375332
2788.6611,1557.1923,0.375832
2792.6611,1559.2631,0.376331
2793.6611,1561.3337,0.376831
2788.9946,1563.4045,0.377331
2786.328,1565.4752,0.377831
2789.328,1567.546,0.378331
2790.328,1569.6167,0.37883
2790.328,1571.6875,0.37933
2792.328,1573.7582,0.37983
2795.328,1575.829,0.38033
2797.328,1577.8997,0.380829
2800.328,1579.9703,0.381329
2803.328,1582.0411,0.381829
2804.328,1584.1118,0.382329
2809.328,1586.1826,0.382828
2810.328,1588.2533,0.383328
2814.328,1590.3241,0.383828
2808.6611,1592.3948,0.384328
2809.6611,1594.4656,0.384828
2810.6611,1596.5363,0.385327
2811.6611,1598.607,0.385827
